========= LIST command test ========= 
2025/07/23 08:57:32 list - 41.488371ms
2025/07/23 08:57:33 list - 43.816748ms
2025/07/23 08:57:33 list - 42.465404ms
2025/07/23 08:57:33 list - 44.519871ms
2025/07/23 08:57:34 list - 41.644377ms
2025/07/23 08:57:34 list - 44.352365ms
2025/07/23 08:57:35 list - 44.253362ms
2025/07/23 08:57:35 list - 42.668711ms
2025/07/23 08:57:36 list - 42.921419ms
2025/07/23 08:57:36 list - 44.253362ms
2025/07/23 08:57:36 list - 44.037555ms
2025/07/23 08:57:37 list - 42.857905ms
2025/07/23 08:57:37 list - 41.714764ms
2025/07/23 08:57:38 list - 42.920607ms
2025/07/23 08:57:38 list - 41.256248ms
2025/07/23 08:57:38 list - 41.486457ms
2025/07/23 08:57:39 list - 41.226748ms
2025/07/23 08:57:39 list - 42.43419ms
2025/07/23 08:57:40 list - 42.084578ms
2025/07/23 08:57:40 list - 41.971574ms
2025/07/23 08:57:41 list - 42.844605ms
2025/07/23 08:57:41 list - 42.521793ms
2025/07/23 08:57:41 list - 41.913972ms
2025/07/23 08:57:42 list - 42.283785ms
2025/07/23 08:57:42 list - 44.219452ms
2025/07/23 08:57:43 list - 41.236548ms
2025/07/23 08:57:43 list - 42.599096ms
2025/07/23 08:57:44 list - 42.340986ms
2025/07/23 08:57:44 list - 41.623482ms
2025/07/23 08:57:45 list - 42.052396ms
========= UPLOAD command test ========= 
2025/07/23 08:57:45 upload - 43.235537ms
2025/07/23 08:57:45 upload - 41.506179ms
2025/07/23 08:57:46 upload - 45.1047ms
2025/07/23 08:57:46 upload - 41.012264ms
2025/07/23 08:57:47 upload - 42.803023ms
2025/07/23 08:57:47 upload - 41.395576ms
2025/07/23 08:57:47 upload - 44.012163ms
2025/07/23 08:57:48 upload - 43.03173ms
2025/07/23 08:57:48 upload - 41.583382ms
2025/07/23 08:57:49 upload - 42.010096ms
2025/07/23 08:57:49 upload - 40.738654ms
2025/07/23 08:57:50 upload - 41.931494ms
2025/07/23 08:57:50 upload - 41.077765ms
2025/07/23 08:57:50 upload - 41.763788ms
2025/07/23 08:57:51 upload - 44.454478ms
2025/07/23 08:57:51 upload - 41.868991ms
2025/07/23 08:57:52 upload - 41.539481ms
2025/07/23 08:57:52 upload - 1.302343ms
2025/07/23 08:57:53 upload - 43.085432ms
2025/07/23 08:57:53 upload - 46.770061ms
2025/07/23 08:57:53 upload - 42.23421ms
2025/07/23 08:57:54 upload - 42.383715ms
2025/07/23 08:57:54 upload - 42.750027ms
2025/07/23 08:57:54 upload - 41.087572ms
2025/07/23 08:57:55 upload - 41.946701ms
2025/07/23 08:57:55 upload - 45.22101ms
2025/07/23 08:57:56 upload - 1.481749ms
2025/07/23 08:57:56 upload - 41.472185ms
2025/07/23 08:57:57 upload - 44.859997ms
2025/07/23 08:57:57 upload - 45.195809ms
========= DOWNLOAD command test ========= 
2025/07/23 08:57:57 download - 1.18414ms
2025/07/23 08:57:58 download - 1.250042ms
2025/07/23 08:57:58 download - 1.397947ms
2025/07/23 08:57:59 download - 1.086337ms
2025/07/23 08:57:59 download - 1.084436ms
2025/07/23 08:57:59 download - 973.732µs
2025/07/23 08:58:00 download - 1.18544ms
2025/07/23 08:58:00 download - 977.133µs
2025/07/23 08:58:00 download - 1.128538ms
2025/07/23 08:58:01 download - 1.083336ms
2025/07/23 08:58:01 download - 1.294744ms
2025/07/23 08:58:01 download - 1.235441ms
2025/07/23 08:58:02 download - 1.142238ms
2025/07/23 08:58:02 download - 1.375246ms
2025/07/23 08:58:03 download - 1.306443ms
2025/07/23 08:58:03 download - 1.344745ms
2025/07/23 08:58:03 download - 1.019234ms
2025/07/23 08:58:04 download - 1.340045ms
2025/07/23 08:58:04 download - 1.284243ms
2025/07/23 08:58:04 download - 1.322444ms
2025/07/23 08:58:05 download - 983.632µs
2025/07/23 08:58:05 download - 1.104437ms
2025/07/23 08:58:05 download - 1.105937ms
2025/07/23 08:58:06 download - 1.008234ms
2025/07/23 08:58:06 download - 1.055036ms
2025/07/23 08:58:07 download - 1.258242ms
2025/07/23 08:58:07 download - 964.333µs
2025/07/23 08:58:07 download - 1.167839ms
2025/07/23 08:58:08 download - 1.144139ms
2025/07/23 08:58:08 download - 1.101537ms
